frame,play_num,id,x1,y1,w,h,1,-1,-1,-1
60,1,1,-37.78879166,392.7070923,90.76048279,243.336731,1,-1,-1,-1
60,1,2,288.9183655,207.5514069,51.9390564,108.7332611,1,-1,-1,-1
60,1,3,1133.821655,97.39892578,40.8359375,103.7237701,1,-1,-1,-1
60,1,4,1132.266602,155.2553558,53.03234863,141.0585175,1,-1,-1,-1
60,1,5,376.5838318,206.6244507,67.71365356,112.3408813,1,-1,-1,-1
60,1,6,1001.999329,108.3354111,37.52313232,81.26180267,1,-1,-1,-1
60,1,7,539.4519043,199.6444092,54.94592285,98.7727356,1,-1,-1,-1
60,1,8,558.4391479,242.8776703,101.2354126,172.8757172,1,-1,-1,-1
60,1,9,445.789978,234.3899231,71.1161499,170.126709,1,-1,-1,-1
60,1,10,1059.855957,113.318222,34.57397461,79.09643555,1,-1,-1,-1
60,1,11,317.9002075,353.8425598,80.60586548,158.3683777,1,-1,-1,-1
60,1,12,607.2745972,232.6538391,79.6652832,175.109375,1,-1,-1,-1
60,1,13,4.370643139,172.4058533,72.6646347,143.6523132,1,-1,-1,-1
60,1,14,85.78871918,96.35061646,41.89407349,105.4424438,1,-1,-1,-1
60,1,15,881.9447632,356.9530029,107.6427002,143.3461914,1,-1,-1,-1
60,1,16,-53.38798904,231.6803741,64.67831421,168.3333588,1,-1,-1,-1
60,1,17,490.9998169,84.46458435,37.19030762,81.30014038,1,-1,-1,-1
60,1,18,663.3030396,227.769455,71.14672852,137.0847626,1,-1,-1,-1
60,1,19,518.1826782,80.65259552,39.31201172,80.04059601,1,-1,-1,-1
60,1,20,870.8093262,7.376108646,34.12902832,65.88487244,1,-1,-1,-1
60,1,21,915.9633789,164.9107361,67.96020508,112.1221008,1,-1,-1,-1
60,1,22,997.4437866,377.6802673,104.0591431,225.0007019,1,-1,-1,-1
60,1,23,882.9241333,229.2269897,59.21038818,114.9591675,1,-1,-1,-1
60,1,24,738.7957153,204.9473877,63.32141113,116.1607666,1,-1,-1,-1
60,1,25,216.5615692,111.6194,35.54748535,85.22843933,1,-1,-1,-1
61,1,1,-37.7943835,392.6678986,90.74871302,243.3129499,1,-1,-1,-1
61,1,2,285.7382765,207.4017295,52.18785854,109.1529245,1,-1,-1,-1
61,1,3,1133.77529,97.23462362,40.93862487,104.0167625,1,-1,-1,-1
61,1,4,1132.177297,155.0266688,53.19093657,141.4827225,1,-1,-1,-1
61,1,5,376.6868109,206.918125,67.51720241,111.9786976,1,-1,-1,-1
61,1,6,1001.885999,108.0694504,37.78337106,81.82566159,1,-1,-1,-1
61,1,7,539.7124703,200.2702497,54.30223125,97.58571089,1,-1,-1,-1
61,1,8,560.4956227,245.6327985,97.97201187,167.4553413,1,-1,-1,-1
61,1,9,445.6371533,234.0080101,71.42473879,170.8724609,1,-1,-1,-1
61,1,10,1060.848335,113.3912732,32.64387879,74.6177401,1,-1,-1,-1
61,1,11,317.914266,354.2179185,80.40148292,157.848744,1,-1,-1,-1
61,1,12,608.4134563,238.5987743,77.48459575,170.2819885,1,-1,-1,-1
61,1,13,4.630947696,172.8360963,72.30260264,142.8693804,1,-1,-1,-1
61,1,14,85.65710345,95.91092594,42.21752545,106.2609489,1,-1,-1,-1
61,1,15,882.1605685,357.4335753,107.0056937,142.4768074,1,-1,-1,-1
61,1,16,-55.69699507,230.7487702,65.51800544,170.4748813,1,-1,-1,-1
61,1,17,492.0841416,83.61524074,34.82383627,76.0632398,1,-1,-1,-1
61,1,18,663.8737405,228.4124956,70.44567251,135.731999,1,-1,-1,-1
61,1,19,518.2522416,80.71655002,39.27473543,79.95847472,1,-1,-1,-1
61,1,20,870.8119136,7.487118701,34.17522887,65.97407109,1,-1,-1,-1
61,1,21,916.312142,168.4544511,67.70832132,111.7425315,1,-1,-1,-1
61,1,22,988.2937815,371.9255802,105.9953278,228.519762,1,-1,-1,-1
61,1,23,882.0574517,227.7441059,60.77956167,117.9766681,1,-1,-1,-1
61,1,24,738.2360071,203.8146647,64.40788374,118.322932,1,-1,-1,-1
61,1,25,216.7313173,111.9233494,35.33041647,84.66873812,1,-1,-1,-1
62,1,1,-37.83712637,392.3895388,90.87841474,243.6331499,1,-1,-1,-1
62,1,2,284.7088687,206.97166,53.07688629,110.9235807,1,-1,-1,-1
