frame,play,id,x1,y1,w,h,1,-1,-1,-1
60,1,1,448.0774841,233.3230133,65.27554321,164.3928986,1,-1,-1,-1
61,1,1,448.0156364,233.0065378,65.47087297,164.8821704,1,-1,-1,-1
62,1,1,447.9962141,232.9012575,65.59747943,165.174212,1,-1,-1,-1
63,1,1,447.8827785,232.7937827,65.76193861,165.5583162,1,-1,-1,-1
64,1,1,447.7203057,232.6565732,65.93612477,165.9851051,1,-1,-1,-1
65,1,1,447.7108288,232.6208834,65.94100658,166.0331472,1,-1,-1,-1
66,1,1,447.7428681,232.5267947,65.96950359,166.1457059,1,-1,-1,-1
67,1,1,447.7620977,232.48489,65.98758189,166.1816482,1,-1,-1,-1
68,1,1,447.7863519,232.5069168,66.00143514,166.159785,1,-1,-1,-1
69,1,1,447.8147019,232.6745915,65.91592101,165.9101268,1,-1,-1,-1
70,1,1,447.8745228,232.9195171,65.75611277,165.4679542,1,-1,-1,-1
71,1,1,447.905464,233.0027112,65.72135487,165.3358263,1,-1,-1,-1
72,1,1,447.8837777,233.0116228,65.74997491,165.3452042,1,-1,-1,-1
73,1,1,447.8687353,233.1015248,65.73999419,165.2569343,1,-1,-1,-1
74,1,1,447.8490915,233.2205041,65.69318058,165.0626076,1,-1,-1,-1
75,1,1,447.8170644,233.2133341,65.743092,165.0660802,1,-1,-1,-1
76,1,1,447.7405201,233.1197167,65.87652581,165.2951469,1,-1,-1,-1
77,1,1,447.7488468,233.2112194,65.82564734,164.9900143,1,-1,-1,-1
78,1,1,447.752475,233.2779918,65.85771831,164.8519367,1,-1,-1,-1
79,1,1,447.6703659,233.1757205,65.99802558,165.087834,1,-1,-1,-1
80,1,1,447.7138738,233.2228951,65.93440257,164.8943445,1,-1,-1,-1
81,1,1,447.7502667,233.216507,65.96683227,164.8622406,1,-1,-1,-1
82,1,1,447.7221354,233.394313,65.97056794,164.6478684,1,-1,-1,-1
83,1,1,447.7299687,233.4928536,66.05926315,164.5571353,1,-1,-1,-1
84,1,1,447.7346691,233.5479633,66.08763359,164.48549,1,-1,-1,-1
85,1,1,447.7175116,233.5022759,66.16329945,164.599383,1,-1,-1,-1
86,1,1,447.6181485,233.2307192,66.36743564,165.0580805,1,-1,-1,-1
87,1,1,447.546709,232.9815232,66.53280614,165.4625913,1,-1,-1,-1
88,1,1,447.4427318,232.9837613,66.58574361,165.585087,1,-1,-1,-1
89,1,1,447.4988343,233.0621278,66.5298058,165.4433277,1,-1,-1,-1
90,1,1,447.5322698,233.3221551,66.35482224,164.9178606,1,-1,-1,-1
91,1,1,447.3710369,233.1806568,66.61444158,165.4153878,1,-1,-1,-1
92,1,1,447.2584162,232.832416,66.94192161,165.980586,1,-1,-1,-1
93,1,1,447.1890492,232.6979698,67.15440231,166.3474911,1,-1,-1,-1
94,1,1,447.2716638,232.7748916,67.11656396,166.0464829,1,-1,-1,-1
95,1,1,447.2394608,232.6228125,67.1917087,166.2394595,1,-1,-1,-1
96,1,1,447.4553883,232.9837469,66.83159594,165.4089542,1,-1,-1,-1
97,1,1,447.465503,232.9784471,66.85940874,165.5136618,1,-1,-1,-1
98,1,1,446.9071876,233.7846438,68.01792274,168.108794,1,-1,-1,-1
99,1,1,446.7716638,234.3669469,68.2019386,168.4707788,1,-1,-1,-1
100,1,1,446.717768,234.9113163,68.08764137,167.9408127,1,-1,-1,-1
101,1,1,444.5787892,233.9549693,67.44305094,165.9917317,1,-1,-1,-1
102,1,1,442.7939754,234.265244,68.60597752,167.9034346,1,-1,-1,-1
103,1,1,442.1582617,233.5891022,68.39232425,166.4143455,1,-1,-1,-1
104,1,1,438.7107338,234.3655281,69.28739059,167.6328639,1,-1,-1,-1
105,1,1,437.4237701,235.4997059,69.27662828,166.6521388,1,-1,-1,-1
106,1,1,437.4225334,235.5767862,67.89468136,162.591504,1,-1,-1,-1
107,1,1,434.7201619,235.7795891,67.39825655,160.4770606,1,-1,-1,-1
108,1,1,432.5576731,236.4804154,68.96190273,163.422364,1,-1,-1,-1
109,1,1,428.9814519,236.3899282,69.94785604,164.8968354,1,-1,-1,-1
110,1,1,427.4911301,236.7744193,70.21962541,164.7178891,1,-1,-1,-1
111,1,1,426.651207,236.7623229,70.56629048,164.7746763,1,-1,-1,-1
112,1,1,426.2839713,236.9416455,70.56651886,164.2104709,1,-1,-1,-1
113,1,1,423.4138909,236.8557781,70.80124206,164.3153562,1,-1,-1,-1
114,1,1,422.1374978,236.6464983,70.96428361,164.658396,1,-1,-1,-1
115,1,1,422.3830064,236.561006,69.06296036,160.5355217,1,-1,-1,-1
116,1,1,421.7519896,236.6702773,69.99716132,163.026762,1,-1,-1,-1
117,1,1,422.0825272,236.0229654,69.05360181,161.0478667,1,-1,-1,-1
118,1,1,421.5579493,236.2804448,70.17546626,163.7897077,1,-1,-1,-1
119,1,1,421.5313391,236.8778812,70.27259631,164.1869306,1,-1,-1,-1
120,1,1,421.6544611,237.2859724,70.13782003,163.9699271,1,-1,-1,-1
121,1,1,421.9970544,237.7350741,69.66715271,163.0901234,1,-1,-1,-1
122,1,1,422.1311403,237.9723142,69.4877245,162.8975795,1,-1,-1,-1
123,1,1,422.2432609,238.3020621,69.29296657,162.5901201,1,-1,-1,-1
124,1,1,422.3531113,238.5679405,69.08874633,162.1581837,1,-1,-1,-1
125,1,1,422.5567712,239.0246246,68.72825512,161.2713118,1,-1,-1,-1
126,1,1,422.6569239,239.3024577,68.53388518,160.8015461,1,-1,-1,-1
127,1,1,422.9238686,239.6464534,68.14778265,159.9349658,1,-1,-1,-1
128,1,1,422.9726851,239.7034337,68.16416561,159.9032319,1,-1,-1,-1
129,1,1,423.0656879,239.8162822,68.10388944,159.8579696,1,-1,-1,-1
130,1,1,423.2514442,240.1919678,67.69241415,158.8995613,1,-1,-1,-1
131,1,1,423.2470764,240.1198388,67.69727584,158.9724415,1,-1,-1,-1
132,1,1,423.3074502,240.0551717,67.73341805,159.1749071,1,-1,-1,-1
133,1,1,423.2718537,239.8714784,67.88233165,159.6258083,1,-1,-1,-1
134,1,1,423.2452389,239.7101323,67.99036482,159.8904522,1,-1,-1,-1
135,1,1,423.2818111,239.7457095,68.01314192,159.9458869,1,-1,-1,-1
136,1,1,423.4614866,240.045942,67.83087235,159.5150286,1,-1,-1,-1
137,1,1,423.5531001,240.3638126,67.65057024,159.1555604,1,-1,-1,-1
138,1,1,423.2838642,239.7836881,68.1753398,160.3690222,1,-1,-1,-1
139,1,1,423.0313255,239.0768879,68.7169551,161.7646102,1,-1,-1,-1
140,1,1,423.0766003,239.0680342,68.65127344,161.7333856,1,-1,-1,-1
141,1,1,423.0114451,238.9363987,68.72053795,162.1759257,1,-1,-1,-1
142,1,1,423.2438471,239.2615223,68.25448428,161.4810125,1,-1,-1,-1
143,1,1,423.556413,239.8344279,67.5748335,160.2041232,1,-1,-1,-1
144,1,1,423.5246758,239.7446529,67.6231082,160.6653006,1,-1,-1,-1
145,1,1,423.4057183,239.4218798,67.79548242,161.4708367,1,-1,-1,-1
146,1,1,423.310903,239.0210016,67.87048739,161.9485115,1,-1,-1,-1
147,1,1,421.1624016,240.0131718,67.12824394,160.2539255,1,-1,-1,-1
148,1,1,420.2448268,240.7000919,66.73537099,159.3000761,1,-1,-1,-1
149,1,1,419.3730541,242.0512388,67.58704824,161.0565992,1,-1,-1,-1
150,1,1,418.812409,242.9014958,67.95982054,161.3929812,1,-1,-1,-1
